auto_clan	clan_description	number_archs	group_concat(distinct(pfamnr))	clan_comment
60	DNA clamp superfamily	50	PF02916,PF04005,PF00712,PF02767,PF02768,PF00705,PF02747,PF02144,PF04139,PF02282	Sliding DNA clamps are ring-shaped proteins that allow DNA polymerase to achieve high processivity during chromosome replication by tethering the polymerase catalytic subunit to DNA. All of the structures share a 12-fold symmetry around the ring consisting of a simple structural repeat, though there is structural divergence in some of the repeats. Bacterial beta-clamps contain six repeats per subunit with two subunits per ring while the eukaryotic and bacteriophage clamps contain four repeats per subunit with three subunits per ring. Pairs of these repeats form a domain, which has been termed the 'processivity fold'; thus the ring of the sliding clamp contains six domains and therefore is often described as having 6-fold symmetry. A structural representative of a fourth family of processivity fold proteins, namely the herpes simplex virus UL42 protein, is also available. UL42 does not form a ring-shaped clamp, however, but rather functions as a monomer and interacts with DNA quite differently than do sliding clamps; it has been suggested that UL42 resembles a primitive ancestor of sliding clamps [2].
61	PLP dependent aminotransferase superfamily	446	PF04864,PF00155,PF00202,PF00266,PF01212,PF01053,PF01041,PF02347,PF01276,PF00282,PF03841,PF00464,PF05889,PF06838,PF12897	This superfamily contains a variety of PLP-dependent enzymes.
62	APC superfamily	315	PF01490,PF03594,PF00955,PF02705,PF00324,PF02554,PF01235,PF01566,PF03845,PF00474,PF00916,PF02133,PF03222,PF00860,PF05525,PF13520,PF13792,PF13906	This large superfamily contains a variety of transporters including amino acid permeases that according to TCDB belong to the APC (Amino acid-Polyamine-organoCation) superfamily.
63	FAD/NAD(P)-binding Rossmann fold Superfamily	6629	PF01073,PF00107,PF01593,PF02353,PF02629,PF01113,PF03141,PF03269,PF01728,PF01408,PF00208,PF03949,PF01795,PF01234,PF02153,PF03291,PF00070,PF03435,PF02882,PF00899,PF01262,PF02826,PF02737,PF00106,PF00670,PF02558,PF05088,PF01739,PF04989,PF03602,PF01266,PF04127,PF00145,PF05219,PF02593,PF02636,PF01861,PF04378,PF04445,PF04672,PF04816,PF05050,PF05148,PF05206,PF02670,PF01370,PF03807,PF00890,PF01494,PF01269,PF00743,PF00479,PF00996,PF01134,PF02527,PF03275,PF02056,PF00732,PF00044,PF04723,PF03486,PF04072,PF00056,PF01232,PF02475,PF00891,PF01596,PF02390,PF03492,PF02086,PF05063,PF05175,PF01225,PF02384,PF01555,PF03446,PF03447,PF01210,PF03059,PF01189,PF02423,PF01358,PF01135,PF02719,PF04321,PF00398,PF01118,PF01488,PF05185,PF01564,PF03848,PF01946,PF02254,PF02005,PF04820,PF01209,PF03721,PF01170,PF03686,PF03853,PF05368,PF05401,PF05430,PF05575,PF05711,PF05724,PF05834,PF05891,PF05958,PF05971,PF06039,PF06080,PF06100,PF06325,PF06460,PF06859,PF06962,PF07021,PF07055,PF07091,PF07109,PF07156,PF07157,PF07279,PF07669,PF07757,PF07942,PF07991,	A class of redox enzymes are two domain proteins. One domain, termed the catalytic domain, confers substrate specificity and the precise reaction of the enzyme.  The other domain, which is common to this class of redox enzymes, is a Rossmann-fold domain. The Rossmann domain binds nicotinamide adenine dinucleotide (NAD+) and it is this cofactor that reversibly accepts a hydride ion, which is lost or gained by the substrate in the redox reaction.  Rossmann domains have an alpha/beta fold, which has a central beta sheet, with approximately five alpha helices found surrounding the beta sheet.The strands forming the beta sheet are found in the following characteristic order 654123. The inter sheet crossover of the stands in the sheet form the NAD+ binding site [1].  In some more distantly relate Rossmann domains the NAD+ cofactor is replaced by the functionally similar cofactor FAD.
64	CPA/AT transporter superfamily	142	PF03547,PF00999,PF03601,PF03956,PF03616,PF03812,PF03977,PF01758,PF05684,PF05982,PF06826,PF06965,PF13593	This Clan contains transporter proteins that belong to the CPA superfamily and AT superfamily according to TCDB [1].
65	Cyclin-like superfamily	111	PF00134,PF03261,PF02984,PF01858,PF01857,PF00382,PF08613	This Clan contains cyclins, Transcription factor IIB (TFIIB), and the Retinoblastoma tumour suppressor proteins. These were predicted to be related by sequence [1].
66	Beta-trefoil superfamily	573	PF02815,PF00652,PF03498,PF04601,PF00167,PF00340,PF00197,PF05270,PF05588,PF06229,PF06268,PF07468,PF07951,PF08709,PF14200	This family corresponds to a large set of related beta-trefoil proteins [1].  The beta-trefoil is formed by six two-stranded hairpins [2]. Three of these form a barrel structure and the other three are in a triangular array that caps the barrel. The arrangement of the secondary structures gives the molecules a pseudo 3-fold axis.
67	SIS domain fold	72	PF00342,PF01380,PF10740,PF13580	This catalytic domain catalyses isomerisation reactions of a variety of sugars [1].
68	RIIa-like fold	55	PF05186,PF02197	This clan includes both the RIIa dimerisation motif as well as the Dpy-30-like motif [1].
69	GFP-like superfamily	75	PF01353,PF07474	This superfamily has an unusual fold of an 11 stranded beta barrel enclosing an alpha-helix. This superfamily includes green fluorescent protein as well as a domain from nidogen.
70	ACT-like domain	190	PF01842,PF00585,PF04359,PF08753,PF10000,PF13291,PF13710,PF13740,PF13840	These domains are involved in binding to amino-acids and causing allosteric regulation of linked enzyme domains [1]. The relationship between these two families was first noticed in [2].
71	Histidine phosphatase superfamily	134	PF00328,PF00300	The histidine phosphatase superfamily is so named because catalysis centres on a conserved His residue that is transiently phosphorylated during the catalytic cycle.  Other conserved residues contribute to a 'phosphate pocket' and interact with the phospho group of substrate before, during and after its transfer to the His residue.  Structure and sequence analyses show that different families contribute different additional residues to the 'phosphate pocket' and, more surprisingly, differ in the position, in sequence and in three dimensions, of a catalytically essential acidic residue.  The superfamily may be divided into two main branches [1].
72	Ubiquitin superfamily	1072	PF02017,PF00564,PF02824,PF02597,PF00240,PF00789,PF03671,PF04110,PF02991,PF00794,PF00788,PF02196,PF03658,PF06071,PF06234,PF06251,PF06805,PF07023,PF07715,PF08783,PF08817,PF09138,PF09379,PF10302,PF10531,PF11470,PF11543,PF11973,PF11976,PF12754,PF13019,PF13881,PF14451,PF14452,PF14453,PF14454	This family includes proteins that share the ubiquitin fold. It currently unites four SCOP superfamilies.
73	Beta-sandwich DNA-binding domain	102	PF00853,PF00907,PF00870,PF00554,PF02864,PF05224,PF09287	This clan contains a variety of DNA-binding domains that contain an immunoglobulin-like fold. It includes the DNA-binding domains of NF-kappaB, NFAT, p53, STAT-1, the T-domain and the Runt domain [1].
74	Retroviral matrix superfamily	85	PF01140,PF02337,PF00540,PF02228,PF02813	This clan brings together matrix proteins from a variety of retroviruses.
75	Defensin/myotoxin-like superfamily	12	PF00711,PF00323,PF00706,PF07936,PF08131,PF13841	This clan includes diverse defensins as well as myotoxins.
76	Riboflavin synthase/Ferredoxin reductase FAD binding domain	276	PF00970,PF00667,PF00677,PF08021,PF08022	Riboflavin nucleotide coenzymes and flavin adenine dinucleotide (FAD) are essential cofactors for a large number of flavoproteins involved in a diverse set of redox reactions.  There are thought to be four different FAD-binding folds [1].The FAD-binding fold of this clan is a cylindrical  beta-fold. More specifically, the domain forms a flattened six-stranded  antiparallel beta-barrel organised into two orthogonal sheets  (1-2-5 and 4-3-6) separated by one alpha-helix. The cylinder is open  between strands strand 4 and 5. This opening of the cylinder makes space  for the isoalloxazine and ribityl moieties of the FAD, to which hydrogen  bonds are formed from the open edges of the strands. The other end of  the cylinder is covered by the only helix of the domain,  which is essential for the binding of the pyrophosphate groups of the  FAD [1].The structural differences in the FAD-binding domain are  manifested mainly as loops of different length and extra extending  structural elements, which may be important for interactions with their  redox partners [1]. The structural core of all clan members is highly  conserved.
77	PCMH-like FAD binding	184	PF01565,PF00941	The FAD-binding domains contained in this family fall within the PCMH (p-cresol methyl-hydroxylase) family of FAD binding proteins as defined in [1].  In this family, the structure of the FAD binding domain is comprised of two subdomains.  Both of these subdomains have an alpha-beta fold.  The first subdomain is comprised of three parallel beta strands,  surrounded by alpha helices.  The second subdomain contains five antiparallel beta strands, also surrounded by alpha helices. The junction between these two subdomains forms the FAD bind pocket, where the ligand is bound by hydrogen and van der Waals bonds [1].
78	DNA/RNA ligase superfamily	123	PF01068,PF01653,PF01331,PF09414	This superfamily contains both ATP-dependent and NAD dependent DNA ligase enzymes.  The family also includes mRNA capping enzymes.  The members of this clan were shown to be related by sequence in [1].
79	Cystine-knot cytokine superfamily	49	PF02035,PF00007,PF03045,PF00236,PF00243,PF00341,PF00019,PF05463,PF05806	The cytokine families in this clan have the cystine-knot fold.  In this 6 cysteines form three disulphide bridges that are interlinked.
80	Mss4-like superfamily	29	PF04421,PF01641,PF00838	This clan contains TCTP, Mss4 and SelR families [1].
81	MBD-like DNA-binding domain	92	PF00847,PF01429,PF02920	This clan contains proteins with a distinctive three stranded DNA-binding domain [1].
82	Tautomerase/MIF superfamily	16	PF02962,PF01187,PF01361,PF08921	This clan groups 5-(carboxymethyl)-2-hydroxymuconate isomerase (CHMI) and 4-oxalocrotonate tautomerase (4-OT) with macrophage inhibitory factor (MIF).  Interestingly they all share an amino-terminal proline. Members of this clan for homotrimers [1].
83	Omega toxin-like	21	PF02950,PF05039,PF02819,PF05374,PF05980,PF06357,PF07473,PF07740,PF07945,PF08027,PF08087,PF08091,PF08092,PF08093,PF08094,PF08099,PF08117,PF11478,PF11703	This clan contains a set of related small protein toxins and what appears to be the functionally distinct Albumin I domain. All members of this clan have a knottin-like fold.  Additional information about this clan may be found from [1].  
84	ADP-ribosylation Superfamily	223	PF01129,PF03496,PF02763,PF01375,PF00644,PF02917	The members of this clan all represent ADP-ribosylating catalytic domains.  The structurally conserved regions are located at the NAD binding region [1]. According to SCOP, the ADP-ribosylation domain is  thought to have an "unusual fold".
85	DHS-like NAD/FAD-binding domain	143	PF02552,PF01916,PF00766,PF02233,PF02146,PF00205,PF13289	The members of this family adopt a Rossmann fold, similar to CLAN:CL0063. However, the members of this family are distinguished in that the FAD/NAD cofactor is bound in the opposite direction.  In this arrangement, the adenosine moiety is found bound at the  second half of the fold.\t   In addition, the conserved GxGxxG motif found in classical NADP binding Rossmann folds is absent.  Finally, another distinguishing characteristic is the formation of an internal hydrogen bond in the FAD molecule [1].
86	FAD-linked oxidoreductase	24	PF02219,PF01619	The members of this clan adopt a TIM barrel fold, which is reminiscent of flavin mononucleotide binding proteins, rather than one similar to other flavin adenine dinucleotide binding domains. However, the way the FAD cofactor binds in quite different compared to  the binding of FMN in the TIM-barrel structures [1].
87	Acyl-CoA dehydrogenase, C-terminal domain-like	108	PF00441,PF03241,PF01756,PF08028	The Acyl-CoA dehydrogenase FAD binding domain forms an mostly alpha helical domain, comprised of four helices\tarranged in up-and-down bundle. In Acyl-CoA oxidase II this domain appears to have been duplicated.
88	Alkaline phosphatase-like	274	PF00245,PF02995,PF01663,PF00884,PF01676,PF04185,PF07394,PF08665	The members of this clan all share a common structure of their catalytic domains, which contain conserved metal binding residues [1].
89	GlnB-like superfamily	42	PF02641,PF03091,PF00543,PF06153,PF08029,PF09413,PF10126,PF11582,PF12122	The members of this clan are characterised by the fact the domains, each comprised of four beta-strand and two alpha helices, tend to form tetrameric structures [1].
90	Globin-like	57	PF00042,PF01152,PF00502	The globin fold is an evolutionary conserved six helical fold that is  found in bacteria and eukaryotes.
91	Ferredoxin / Ferric reductase-like NAD binding	269	PF00175,PF08030	The Ferredoxin / Ferric reductase-like NAD binding domain is  adopts a Rossmann like fold.  However, these families have been excluded from the classical NAD(P) binding Rossmann clan (CLAN:CL0063), due to a divergence of the GxGxxG motif.  In this clan, the motif phosphate binding motif is G-T/S-G-A/I-P.  The changes in the motif are a reflection of the different way that the NAD(P)H is bound by this fold and the classical Rossmann fold [1,2].
92	Actin depolymerizing Factor	124	PF00626,PF00241	For motile cells such as Amoeba to move, there must be the rapid recycling of their actin cytoskeleton to enable a dynamic change in their shape. Gelsolin (PFAM:PF00626) and Cofilin (PFAM:PF00241) are  two key domain families in this process.  Both of these domain are  structural and functional similar [1,2].  In particular, the beta sheet found at the core of the domain is structurally well conserved, with the helices that surround this sheet less conserved[2]. 
93	Peptidase clan CD	856	PF01650,PF00656,PF03415,PF01364,PF03568,PF11713,PF12770,PF13900	The members of this clan are all endopeptidase that have the catalytic dyad histidine followed by cysteine.  The catalytic histidine is preceded  by a block of hydrophobic residues and a glycine, where as the cysteine is preceded by a block of hydrophobic residues and a glutamine and an alanine. The members with a know structure adopt an alpha/beta fold [1].
94	LuxS/MPP-like metallohydrolase	60	PF05193,PF02664,PF00675,PF03410	All members of this clan are characterised by a HXXEH motif, which is  is involved in zinc binding.  Furthermore all members adopt an alpha and  beta fold. More specifically, there us a four to six stranded antiparallel beta sheet surrounded by five helices. However, LuxS (PFAM:PF02664) is not a peptidase, although its hydrolytic mechanism of catalysis appears to be conserved [1].
95	Peptidase Clan ML	9	PF01750,PF03418,PF06866	This clan contains HybD-like domains.  HybD is a nickel binding  endopeptidase.  Structural and sequences analyses have highlighted the  presence of two highly conserved motifs that are shared with germination proteases and HybD [1].  Members of this clan adopt an alpha/beta fold,  comprised of a central beta sheet, surrounded by alpha helices.
96	Peptidase Inhibitor Clan IE	2	PF02977,PF00299	The members of this clan are all cystine rich domains, which form a knottin scaffold.  This clan should also contain alpha-amylase but currently this family is a singleton and can not be put into Pfam. Also see [1].
97	Type III secretory system chaperone	12	PF05932,PF07824,PF10722	The translocation of pathogenic proteins into a host cell is mediated by the type III secretory system. A component of this system is a  chaperone, which binds to the protein which is going to be secreted in the bacterial cytosol and is involved in translocation of the secreted  protein, although the chaperone is not translocated itself. An individual  chaperone associates with one or two specific proteins [1].  There are a large number of type III secretory system chaperones, which are small acidic proteins and exhibit significant sequence divergence.   This clan groups type III secretory system chaperones. Members with a  known structure form small compact globular domains with an alpha-beta(3)- alpha-beta(2)-alpha like organisation [1].
98	SPOUT Methyltransferase Superfamily	70	PF04013,PF01994,PF02590,PF02598,PF04452,PF00588,PF01746,PF04252,PF09895,PF09936,PF14419	A distinct class of methylases that includes the SpoU and TrmD  superfamilies and two superfamilies of predicted methylases defined  by the YbeA and MJ0421 proteins in bacteria and archaea,  respectively [1] (PFAM:PF00588 PFAM:PF01746). SPOUT is  structurally  distinct  compared to more classical methyltransferases [1]. More specifically, the members of this clan form alpha/beta knots. Knots are extremely rare in protein structures as they pose a\tfolding problem. The mechanism that allow a domain to be folded as a knot are unclear, but are discussed in [2] and reference therein. All members with known structure form homodimers.
99	ALDH-like superfamily	102	PF00171,PF00815,PF05893,PF07368	The aldehyde dehydrogenases (ALDHs) are a superfamily of multimeric  enzymes which catalyse the oxidation of a broad range of aldehydes into  their corresponding carboxylic acids with the reduction of their cofactor, NAD(P) into NAD(P)H.  The way that the NAD is bound is distinct from other NAD(P)-dependent oxidoreductases.  The domain represented by this  clan consists of two similar subdomains.
100	C1q and TNF superfamily	44	PF00386,PF00229	The members of the C1q and TNF superfamily are involved in a diverse set  of functions, which include: defense, inflammation, apoptosis, autoimmunity differentiation, organogenesis, hibernation and insulin-resistant\tobesity [1].  Both C1q and TNF domains form a compact jelly-roll beta- sandwich.  The core of these structures are conserved between the two families and corresponds to the detectable sequence similarity. Proteins containing both of these domains, form trimers before they are active.  However, the surfaces of the domains are quite different and  this difference is thought to give rise to the function difference between the clan members[1].  
101	RNA ribose binding superfamily	32	PF03465,PF01248,PF08032,PF08228	The members of this clan are all involved in binding to ribose sugar of RNA.  Indeed, the key RNA binding residues are conserved across the different families [1].  Members of this clan form mixed alpha-helical and beta-sheet structures.
103	Galactose Mutarotase-like superfamily	188	PF01263,PF02929,PF03636,PF02278,PF07748,PF13802	This clan is composed of a beta-sandwich that was first observed in domain 5 of beta-galactosidase, then as the central domain of copper amine oxidase, the C-terminal domain of chondroitinase, the C-terminal domain of hyaluronate lyase, the N-terminal domain of maltose phosphorylase and in Galactose Mutarotase [1]. All these enzymes act on a sugar substrate.
104	VOC superfamily	122	PF00903,PF06185,PF06983,PF12681,PF13468,PF13669	This clan contains the VOC metalloenzyme superfamily [1]. The known types of reactions that are catalysed include isomerizations (glyoxalase I), epimerizations (methylmalonyl-CoA epimerase), oxidative cleavage of C-C bonds (extradiol dioxygenase), and nucleophilic substitutions (fosfomycin resistance proteins) [1].
105	Barrel sandwich hybrid superfamily	560	PF01551,PF02749,PF01333,PF00364,PF01512,PF01597,PF00529,PF02321,PF00358,PF05896,PF07831,PF09891,PF10011,PF12700,PF13375,PF13437,PF13533	This superfamily contains proteins with a hybrid motif [1]. This motif is embedded in structurally diverse proteins.
106	6-phosphogluconate dehydrogenase C-terminal-like superfamily	104	PF00725,PF00393,PF01450,PF00984,PF07479,PF08125	This helical domain is found associated with Rossmann domains.
107	KOW domain	66	PF00467,PF01157,PF03947,PF08207	This superfamily includes proteins involved in translation that have a KOW like SH3-fold.
108	Actin-like ATPase Superfamily	406	PF00814,PF00871,PF00022,PF01869,PF03309,PF02543,PF00370,PF02782,PF03630,PF01150,PF02685,PF05134,PF00349,PF03727,PF00012,PF01968,PF02541,PF00480,PF03702,PF05378,PF06277,PF06406,PF06723,PF07318,PF08735,PF08841,PF11104,PF13941,PF14450	The actin-like ATPase domain forms an alpha/beta canonical fold. The domain can be subdivided into 1A, 1B, 2A and 2B subdomains. Subdomains 1A and 1B share the same RNAseH-like fold (a five-stranded beta-sheet decorated by a number of alpha-helices). Domains 1A and 2A are conserved in all members of this superfamily, whereas domain 1B and 2B have a variable structure and are even missing from some homologues [1].  Within the actin-like ATPase domain the ATP-binding site is highly conserved. The phosphate part of the ATP is bound in a cleft between subdomains 1A and 2A, whereas the adenosine moiety is bound to residues from domains 2A and 2B[1].
109	Cytidine deaminase-like (CDA) superfamily	771	PF00383,PF02137,PF01808,PF05240,PF08210,PF08211,PF14421,PF14424,PF14427,PF14428,PF14431,PF14432,PF14437,PF14439,PF14440,PF14441	This clan contains both free nucleotide and nucleic acid deaminases that act on adenosine, cytosine, guanine and cytidine, and are  collectively known as the deaminase superfamily.  The conserved fold  consists of a three-layered alpha/beta/alpha structure with 3 helices  and 4 strands in the 2134 order [1,2].This superfamily is further  divided into two major divisions based on the presence of a  helix (helix-4) that renders the terminal strands (strands 4 and 5) either parallel to each other in its presence, or anti-parallel  in its absence [2]. Structurally, the deaminase-like fold is present in four other superfamilies including the JAB-like metalloproteins,  the C-terminal AICAR transformylase-catalyzing domains of PurH,  Tm1506 and the formate dehydrogenase accessory subunit FdhD. The active site of the deaminases is composed of three residues  that coordinate a zinc ion between conserved helices 2 and 3. The  residues are typically found as [HCD]xE and CxxC motifs at the  beginning of helices 2 and 3. The zinc ion activates a water  molecule, which forms a tetrahderal intermediate with the carbon  atom that is linked to the amine group. This is followed by  deamination of the base.  
110	Glycosyl transferase clan GT-A	1191	PF01697,PF02434,PF04488,PF01755,PF03360,PF01501,PF00535,PF05060,PF03452,PF03552,PF01644,PF03142,PF02348,PF01983,PF03407,PF03314,PF04646,PF01762,PF02709,PF03414,PF03071,PF01128,PF00483,PF03213,PF01704,PF05637,PF05679,PF05704,PF06306,PF09258,PF09837,PF10111,PF11051,PF11316,PF11397,PF12804,PF12919,PF13506,PF13632,PF13641,PF13704,PF13712,PF13733,PF13896	This is the GT-A clan that contains diverse glycosyltransferases that possess a Rossmann like fold [1].
111	Glycosyl transferase GT-C superfamily	255	PF03155,PF04602,PF04922,PF05208,PF04188,PF02364,PF05007,PF01277,PF03901,PF02366,PF02516,PF06728,PF07220,PF09586,PF09594,PF09852,PF09913,PF10131,PF11028,PF13231	This is the GT-C clan that contains diverse glycosyltransferases that possess 8-13 predicted transmembrane segments [1].
112	Yip1/YIF1-like	47	PF03878,PF04893,PF06304,PF06570,PF06930,PF08006	Yip1 and YIF1 are members of an integral membrane complex which bind to Ras-like GTPases and are required for membrane fusion of ER derived vesicles with the Golgi [1].
113	Glycosyl transferase clan GT-B	1285	PF04101,PF00982,PF04464,PF05159,PF04007,PF02350,PF03033,PF01075,PF00534,PF04413,PF02684,PF00343,PF04230,PF03481,PF00862,PF00201,PF05686,PF05693,PF06258,PF06722,PF06925,PF07429,PF08288,PF08323,PF08660,PF09314,PF11997,PF12000,PF13439,PF13477,PF13524,PF13528,PF13579,PF13692,PF13844	This is the GT-B clan that contains diverse glycosyltransferases that possess a Rossmann like fold [1].
114	HMG-box like superfamily	163	PF00505,PF04690,PF06244,PF06382,PF08073,PF09011	This clan includes the DNA-binding HMG-box proteins as well as the YABBY-like transcription factors.
115	Steroid oxidoreductase superfamily	44	PF02544,PF01222,PF04140,PF04191,PF06966,PF07298	This clan includes several enzymes, including steroid dehydrogenases and isoprenylcysteine carboxyl methyltransferase enzymes. These protein contain a varying number of transmembrane regions.
116	Calycin superfamily	90	PF02098,PF00061,PF03724,PF02087,PF04170,PF03973,PF07137,PF08212,PF09223,PF11032,PF12182,PF12702,PF13648,PF13924,PF13944	The calycin structural superfamily [1-3] includes the lipocalins, the fatty acid-binding proteins (FABPs).
117	uPAR/Ly6/CD59/snake toxin-receptor superfamily	22	PF01064,PF02988,PF00087,PF00021,PF06211	This superfamily contains snake toxins as well as extracellular cysteine rich domains.
118	Ribokinase-like superfamily	135	PF00294,PF04587,PF02110,PF01256,PF08543,PF10120	All of these enzymes are phosphotransferases that have an alcohol group as an acceptor (EC:2.7.1.-). However, 4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate kinase (HMPP kinase) catalyses two phosphorylation reactions: one to a hydroxymethyl group of hydroxymethyl pyrimidine (HMP) and the second to the phosphomethyl group of HMPP [1]. The common structural feature for the enzymes in this superfamily is a central eight-stranded sheet that is flanked by eight structurally conserved helices, five on one side and three on the other [1]. The active site is located in a shallow groove along one edge of the sheet, with the phosphate acceptor hydroxyl group and -phosphate of ATP close together in the middle of the groove, and substrate and ATP binding at the ends [1].
121	Cystatin-like superfamily	23	PF00666,PF00031,PF07430,PF07448	This superfamily includes cystatins and cathelicidins [1]. The cystatin superfamily comprises cysteine protease inhibitors that play key regulatory roles in protein degradation processes. The progenitor of this superfamily was most probably intracellular and lacked a signal peptide and disulfide bridges, much like the extant Giardia cystatin. A primordial gene duplication produced two ancestral eukaryotic lineages, cystatins and stefins. Stefins - included in Pfam:PF00031 - remain encoded by a single or a small number of genes throughout the eukaryotes, whereas the cystatins have undergone a more complex and dynamic evolution through numerous gene and domain duplications [2].
122	Chorismate lyase/UTRA superfamily	24	PF04345,PF01947,PF07702,PF12143	This clan includes chorismate lyase as well as the UTRA domain
123	Helix-turn-helix clan	4616	PF04218,PF01381,PF02954,PF04760,PF00249,PF01399,PF03399,PF04542,PF04545,PF00440,PF00486,PF01316,PF04182,PF00325,PF01978,PF02001,PF02650,PF01638,PF03444,PF04079,PF02319,PF03789,PF00178,PF04703,PF02742,PF01325,PF01475,PF00196,PF00392,PF00046,PF00447,PF00126,PF04967,PF01022,PF01418,PF02796,PF00165,PF00356,PF01726,PF01047,PF00376,PF05043,PF03962,PF02316,PF03551,PF00292,PF03965,PF00157,PF03288,PF01051,PF04796,PF02257,PF03297,PF05158,PF03428,PF02334,PF04963,PF04552,PF04539,PF02002,PF01710,PF01498,PF01527,PF03221,PF01371,PF02082,PF04297,PF02295,PF05225,PF05269,PF05331,PF05339,PF05584,PF05732,PF05920,PF05930,PF06056,PF06163,PF06413,PF06504,PF06530,PF06576,PF06627,PF06969,PF06970,PF06971,PF07022,PF07037,PF07042,PF07106,PF07278,PF07374,PF07381,PF07453,PF07544,PF07638,PF07750,PF07825,PF07848,PF07900,PF08100,PF08220,PF08221,PF08222,PF08279,PF08280,PF08281,PF08299,PF08461,PF08535,PF08667,PF08765,PF08784,PF08822,PF08876,PF08914,PF08965,PF09012,PF09035,PF09039,PF09048,PF09114,PF09182,PF09197,PF09202,PF09278,PF09339,PF09382,	This family contains a diverse range of mostly DNA-binding domains that contain a helix-turn-helix motif.
124	Peptidase clan PA	925	PF03761,PF00949,PF00863,PF01577,PF00089,PF00944,PF00548,PF01732,PF02907,PF02395,PF02122,PF03510,PF00947,PF05409,PF05416,PF05578,PF05579,PF05580,PF09342,PF10459,PF12380,PF12381,PF13365,PF13611	This clan contains a diverse set of peptidases with the trypsin fold.
125	Peptidase clan CA	1383	PF04970,PF00877,PF03051,PF00112,PF03416,PF05023,PF01841,PF00443,PF00797,PF04473,PF02338,PF01640,PF01088,PF01831,PF00648,PF03412,PF00851,PF01830,PF03569,PF01707,PF03835,PF03543,PF05257,PF05379,PF05381,PF05382,PF05407,PF05408,PF05410,PF05411,PF05412,PF05413,PF05415,PF05533,PF05543,PF05708,PF06035,PF06672,PF06940,PF07313,PF07910,PF08715,PF09778,PF10030,PF10275,PF11814,PF12385,PF12386,PF12671,PF13369,PF13423,PF13471,PF13529,PF14381,PF14399,PF14400	This clan includes peptidases with the papain-like fold.
126	Peptidase clan MA	1294	PF01400,PF01433,PF01431,PF01434,PF02163,PF04450,PF01863,PF03272,PF00413,PF01401,PF01742,PF01432,PF02074,PF02102,PF02128,PF01447,PF01435,PF02868,PF02031,PF01457,PF01752,PF01421,PF04228,PF05299,PF05547,PF05548,PF05569,PF05572,PF06114,PF07607,PF07998,PF08325,PF09471,PF10026,PF10263,PF10460,PF10462,PF10463,PF11350,PF12315,PF12388,PF12725,PF13203,PF13398,PF13402,PF13485,PF13574,PF13582,PF13583,PF13688,PF13699,PF13933	Clan MA is one of two zinc-dependent metallopeptidases that contain the HEXXH motif.  The two histidines are zinc ligands. The structures of this clan show the active site is between its two sub-domains.
127	ClpP/Crotonase superfamily	266	PF01039,PF03255,PF00574,PF01972,PF00378,PF03572,PF01343,PF06833,PF08496,PF13766	This family includes several peptidases of peptidase clan SK as well as crotonase like proteins.
128	von Willebrand factor type A	938	PF03731,PF04811,PF03850,PF00092,PF04285,PF01882,PF04056,PF02342,PF05762,PF06707,PF07002,PF09967,PF11265,PF11775,PF13519,PF13768	To add.
129	Peptidase clan AA	487	PF00077,PF00026,PF02160,PF03539,PF05585,PF05618,PF08284,PF09668,PF12382,PF12384,PF13650,PF13975	This clan contains aspartic peptidases, including the pepsins and retropepsins. These enzymes contains a catalytic dyad composed of two aspartates. In the retropepsins one is provided by each copy of a homodimeric protein, whereas in the pepsin-like peptidases these aspartates come from a single protein composed of two duplicated domains.
130	Peptidase clan AD	30	PF04258,PF01478,PF01080,PF06550	Members of this clan are peptidases that are integral membrane proteins. The catalytic aspartate is in the conserved GXGD motif.
131	DoxD-like	44	PF04173,PF04224,PF02077,PF05514,PF06762,PF07291,PF07681,PF13564,PF13781	The families in this clan are all membrane proteins.  The DoxD family is found on enzymes involved in elemental sulphur oxidation [1].  The other families in this clan are poorly characterised.
132	AbrB/MraZ DNA-binding domain	20	PF04014,PF02381,PF08845	This superfamily includes the DNA-binding domain of AbrB as well as the presumed DNA-binding protein MraZ (per. comm. A Andreeva and A Murzin).
133	AT14A-like	13	PF03087,PF05055,PF05633	This clan contains plant proteins.  DUF677 family members are AT14A-like proteins that have sequence similarity to fungal, insect and human integrins [1].  The other members of this clan are poorly characterised.
134	Peptidase clan CE	99	PF02902,PF00770,PF03421	This clan of cysteine peptidases is classified as CE by MEROPS.
135	Arrestin_N-like	44	PF00339,PF02752,PF04425,PF03643,PF07070,PF13002	The families in this clan are involved in vacuolar protein trafficking, G protein signal termination and sporulation.  The Arrestin N terminal domain has an Ig-like beta sandwich fold which binds to receptors and impairs their capacity to active G proteins [1].  Arrestins have also been implicated in the endocytosis of receptors and cross talk with other signalling pathways [2].
136	Plasmid toxin-antitoxin system	39	PF02604,PF05015,PF05016,PF05973,PF06296,PF06769,PF12910	The families in this clan are plasmid encoded toxins involved in plasmid maintenance.  The plasmid encodes both a toxin and an antitoxin.  Upon loss of the plasmid the antitoxin is inactivated more rapidly than the toxin.  This allows the toxin to interact with its target thus killing the cell or impeding growth.
