pfamnr	pfamdesc	interpronr	interprodesc
PF03368	Double stranded RNA binding domain	IPR005034	NULL
PF03369	Herpesvirus UL3 protein	IPR005035	NULL
PF03370	Putative phosphatase regulatory subunit	IPR005036	NULL
PF03371	PRP38 family	IPR005037	NULL
PF03372	Endonuclease/Exonuclease/phosphatase family	IPR005135	NULL
PF03373	Octapeptide repeat	IPR005038	NULL
PF03374	Phage antirepressor protein KilAC domain	IPR005039	NULL
PF03376	Adenovirus E3B protein	IPR005041	NULL
PF03377	Xanthomonas avirulence protein, Avr/PthA	IPR005042	NULL
PF03378	CAS/CSE protein, C-terminus	IPR005043	NULL
PF03379	CcmB protein	IPR003544	NULL
PF03380	Caenorhabditis protein of unknown function, DUF282	IPR005044	NULL
PF03381	LEM3 (ligand-effect modulator 3) family / CDC50 family	IPR005045	NULL
PF03382	Mycoplasma protein of unknown function, DUF285	IPR005046	NULL
PF03383	Caenorhabditis serpentine receptor-like protein, class xa	IPR005047	NULL
PF03384	Drosophila protein of unknown function, DUF287	IPR005048	NULL
PF03385	Protein of unknown function, DUF288	IPR005049	NULL
PF03386	Early nodulin 93 ENOD93 protein	IPR005050	NULL
PF03387	Herpesvirus UL46 protein	IPR005051	NULL
PF03388	Legume-like lectin family	IPR005052	NULL
PF03389	MobA/MobL family	IPR005053	NULL
PF03390	2-hydroxycarboxylate transporter family	IPR004679	NULL
PF03391	Nepovirus coat protein, central domain	IPR005054	NULL
PF03392	Insect pheromone-binding family, A10/OS-D	IPR005055	NULL
PF03393	Pneumovirus matrix protein	IPR005056	NULL
PF03394	Poxvirus E8 protein	IPR005057	NULL
PF03395	Poxvirus P4A protein	IPR005058	NULL
PF03396	Poxvirus DNA-directed RNA polymerase, 35 kD subunit	IPR005059	NULL
PF03397	Rhabdovirus matrix protein	IPR005060	NULL
PF03398	Regulator of Vps4 activity in the MVB pathway	IPR005061	NULL
PF03399	SAC3/GANP/Nin1/mts3/eIF-3 p25 family	IPR005062	NULL
PF03400	IS1 transposase	IPR005063	NULL
PF03401	Tripartite tricarboxylate transporter family receptor	IPR005064	NULL
PF03402	Vomeronasal organ pheromone receptor family, V1R	IPR004072	NULL
PF03403	Platelet-activating factor acetylhydrolase, isoform II	NULL	NULL
PF03404	Mo-co oxidoreductase dimerisation domain	IPR005066	NULL
PF03405	Fatty acid desaturase	IPR005067	NULL
PF03406	Phage tail fibre repeat	IPR005068	NULL
PF03407	Nucleotide-diphospho-sugar transferase	IPR005069	NULL
PF03408	Foamy virus envelope protein  	IPR005070	NULL
PF03409	Transmembrane glycoprotein	IPR005071	NULL
PF03410	Protein G1	IPR005072	NULL
PF03411	Penicillin-insensitive murein endopeptidase	IPR005073	NULL
PF03412	Peptidase C39 family	IPR005074	NULL
PF03413	Peptidase propeptide and YPEB domain	IPR005075	NULL
PF03414	Glycosyltransferase family 6	IPR005076	NULL
PF03415	Clostripain family	IPR005077	NULL
PF03416	Peptidase family C54	IPR005078	NULL
PF03417	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	IPR005079	NULL
PF03418	Germination protease	IPR005080	NULL
PF03419	Sporulation factor SpoIIGA 	IPR005081	NULL
PF03420	Prohead core protein protease	IPR005082	NULL
PF03421	YopJ Serine/Threonine acetyltransferase	IPR005083	NULL
PF03422	Carbohydrate binding module (family 6)	IPR005084	NULL
PF03423	Carbohydrate binding domain (family 25)	IPR005085	NULL
PF03424	Carbohydrate binding domain (family 17/28)	IPR005086	NULL
PF03425	Carbohydrate binding domain (family 11)	IPR005087	NULL
PF03426	Carbohydrate binding domain (family 15)	IPR005088	NULL
PF03427	Carbohydrate binding domain (family 19)	IPR005089	NULL
PF03428	Replication protein C N-terminal domain	IPR005090	NULL
PF03429	Major surface protein 1B	IPR005091	NULL
PF03430	Trans-activating transcriptional regulator 	IPR005092	NULL
PF03431	RNA replicase, beta-chain 	IPR005093	NULL
PF03432	Relaxase/Mobilisation nuclease domain 	IPR005094	NULL
PF03433	EspA-like secreted protein 	IPR005095	NULL
PF03434	DUF276 	IPR005096	NULL
PF03435	Saccharopine dehydrogenase 	IPR005097	NULL
PF03436	Domain of unknown function (DUF281) 	IPR005098	NULL
PF03437	BtpA family	IPR005137	NULL
PF03438	Pneumovirus NS1 protein	IPR005099	NULL
PF03439	Early transcription elongation factor of RNA pol II, NGN section	IPR005100	NULL
PF03440	Aerolysin/Pertussis toxin (APT) domain	IPR005138	NULL
PF03441	FAD binding domain of DNA photolyase	IPR005101	NULL
PF03442	Carbohydrate binding domain X2	IPR005102	NULL
PF03443	Glycosyl hydrolase family 61	IPR005103	NULL
PF03444	Winged helix-turn-helix transcription repressor, HrcA DNA-binding	IPR005104	NULL
PF03445	Putative nucleotidyltransferase DUF294	IPR005105	NULL
PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase	IPR006115	NULL
PF03447	Homoserine dehydrogenase, NAD binding domain	IPR005106	NULL
PF03448	MgtE intracellular N domain	IPR006668	NULL
PF03449	Transcription elongation factor, N-terminal	IPR022691	NULL
PF03450	CO dehydrogenase flavoprotein C-terminal domain	IPR005107	NULL
PF03451	HELP motif	IPR005108	NULL
PF03452	Anp1	IPR005109	NULL
PF03453	MoeA N-terminal region (domain I and II)	IPR005110	NULL
PF03454	MoeA C-terminal region (domain IV)	IPR005111	NULL
PF03455	dDENN domain	IPR005112	NULL
PF03456	uDENN domain	IPR005113	NULL
PF03457	Helicase associated domain	IPR005114	NULL
PF03458	UPF0126 domain	IPR005115	NULL
PF03459	TOBE domain	IPR005116	NULL
PF03460	Nitrite/Sulfite reductase ferredoxin-like half domain	IPR005117	NULL
PF03461	TRCF domain	IPR005118	NULL
PF03462	PCRF domain	IPR005139	NULL
PF03463	eRF1 domain 1	IPR005140	NULL
PF03464	eRF1 domain 2	IPR005141	NULL
PF03465	eRF1 domain 3	IPR005142	NULL
PF03466	LysR substrate binding domain	IPR005119	NULL
PF03467	Smg-4/UPF3 family	IPR005120	NULL
PF03468	XS domain	IPR005380	NULL
PF03469	XH domain	IPR005379	NULL
PF03470	XS zinc finger domain	IPR005381	NULL
PF03471	Transporter associated domain	IPR005170	NULL
PF03472	Autoinducer binding domain	IPR005143	NULL
PF03473	MOSC domain	IPR005302	NULL
PF03474	DMRTA motif	IPR005173	NULL
PF03475	3-alpha domain	IPR005163	NULL
PF03476	MOSC N-terminal beta barrel domain	IPR005303	NULL
PF03477	ATP cone domain	IPR005144	NULL
PF03478	Protein of unknown function (DUF295)	IPR005174	NULL
PF03479	Domain of unknown function (DUF296)	IPR005175	NULL
PF03480	Bacterial extracellular solute-binding protein, family 7 	IPR018389	NULL
PF03481	Putative GTP-binding controlling metal-binding	IPR005145	NULL
PF03482	sic protein	IPR005328	NULL
PF03483	B3/4 domain	IPR005146	NULL
PF03484	tRNA synthetase B5 domain	IPR005147	NULL
PF03485	Arginyl tRNA synthetase N terminal domain	IPR005148	NULL
PF03486	HI0933-like protein	IPR004792	NULL
PF03487	Interleukin-13	IPR020470	NULL
PF03488	Nematode insulin-related peptide beta type	IPR003235	NULL
PF03489	Saposin-like type B, region 2	IPR008138	NULL
PF03490	Variant-surface-glycoprotein phospholipase C	IPR003633	NULL
PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus	IPR013086	NULL
PF03492	SAM dependent carboxyl methyltransferase	IPR005299	NULL
PF03493	Calcium-activated BK potassium channel alpha subunit	IPR003929	NULL
PF03494	Beta-amyloid peptide (beta-APP)	IPR013803	NULL
PF03495	Clostridial binary toxin B/anthrax toxin PA	IPR003896	NULL
PF03496	ADP-ribosyltransferase exoenzyme	IPR003540	NULL
PF03497	Anthrax toxin LF subunit	IPR005165	NULL
PF03498	Cytolethal distending toxin A/C family	IPR003558	NULL
PF03500	Cellulose synthase subunit D	IPR022798	NULL
PF03501	Plectin/S10 domain	IPR005326	NULL
PF03502	Nucleoside-specific channel-forming protein, Tsx	IPR018013	NULL
PF03503	Chlamydia cysteine-rich outer membrane protein 3	IPR003517	NULL
PF03504	Chlamydia cysteine-rich outer membrane protein 6	IPR003506	NULL
PF03505	Clostridium enterotoxin	IPR003897	NULL
PF03506	Influenza C non-structural protein (NS1)	IPR005187	NULL
PF03507	CagA exotoxin	IPR005169	NULL
PF03508	Gap junction alpha-1 protein (Cx43)	IPR013124	NULL
PF03509	Gap junction alpha-8 protein (Cx50)	IPR002266	NULL
PF03510	2C endopeptidase (C24) cysteine protease family	IPR000317	NULL
PF03511	Fanconi anaemia group A protein	IPR003516	NULL
PF03512	Glycosyl hydrolase family 52	IPR000852	NULL
PF03513	Cloacin immunity protein	IPR003063	NULL
PF03514	GRAS family transcription factor	IPR005202	NULL
PF03515	Colicin-like bacteriocin tRNase domain	IPR016128	NULL
PF03516	Filaggrin	IPR003303	NULL
PF03517	Nucleotide-sensitive chloride conductance regulator (ICln)	NULL	NULL
PF03519	Invasion protein B family	IPR003065	NULL
PF03520	KCNQ voltage-gated potassium channel	IPR013821	NULL
PF03521	Kv2 voltage-gated K+ channel	IPR003973	NULL
PF03522	K-Cl Co-transporter type 1 (KCC1)	IPR018491	NULL
PF03523	Macrophage scavenger receptor	IPR003543	NULL
PF03524	Conjugal transfer protein	IPR010258	NULL
PF03525	Meiotic recombination protein rec114	IPR004354	NULL
PF03526	Colicin E1 (microcin) immunity protein	IPR003061	NULL
PF03527	RHS protein	IPR001826	NULL
PF03528	Rabaptin	IPR018514	NULL
PF03529	Otx1 transcription factor	IPR013851	NULL
PF03530	Calcium-activated SK potassium channel	IPR015449	NULL
PF03531	Structure-specific recognition protein (SSRP1)	IPR024954	NULL
PF03532	OMS28 porin	IPR000839	NULL
PF03533	SPO11 homologue	IPR004084	NULL
PF03534	Salmonella virulence plasmid 65kDa B protein	NULL	NULL
PF03535	Paxillin family	NULL	NULL
PF03536	Salmonella virulence-associated 28kDa protein	IPR003519	NULL
PF03537	TM1410 hypothetical-related protein	IPR004352	NULL
PF03538	Salmonella virulence plasmid 28.1kDa A protein	IPR018003	NULL
PF03539	Spumavirus aspartic protease (A9)	IPR001641	NULL
PF03540	Transcription initiation factor TFIID 23-30kDa subunit	IPR003923	NULL
PF03542	Tuberin	IPR018515	NULL
PF03543	Yersinia/Haemophilus virulence surface antigen	IPR022767	NULL
PF03544	Gram-negative bacterial tonB protein	IPR006260	NULL
PF03545	Yersinia virulence determinant (YopE)	IPR014773	NULL
PF03546	Treacher Collins syndrome protein Treacle	IPR003993	NULL
PF03547	Membrane transport protein	IPR004776	NULL
PF03548	Outer membrane lipoprotein carrier protein LolA	IPR004564	NULL
PF03549	Translocated intimin receptor (Tir) intimin-binding domain	IPR003536	NULL
PF03550	Outer membrane lipoprotein LolB	IPR004565	NULL
PF03551	Transcriptional regulator PadR-like family	IPR005149	NULL
PF03552	Cellulose synthase	IPR005150	NULL
PF03553	Na+/H+ antiporter family	IPR018461	NULL
PF03554	UL73 viral envelope glycoprotein  	IPR005211	NULL
PF03555	Influenza C non-structural protein (NS2)	IPR005188	NULL
PF03556	Cullin binding	IPR005176	NULL
PF03557	Bunyavirus glycoprotein G1	IPR005167	NULL
PF03558	TBSV core protein P21/P22	IPR005332	NULL
PF03559	NDP-hexose 2,3-dehydratase	IPR005212	NULL
PF03561	Allantoicase repeat	IPR015908	NULL
PF03562	MltA specific insert domain	IPR005300	NULL
PF03563	Bunyavirus glycoprotein G2	IPR005168	NULL
PF03564	Protein of unknown function (DUF1759)	IPR005312	NULL
PF03566	Peptidase family A21	IPR005313	NULL
PF03567	Sulfotransferase family	IPR005331	NULL
PF03568	Peptidase family C50	IPR005314	NULL
PF03569	Peptidase family C8	IPR005315	NULL
PF03571	Peptidase family M49	IPR005317	NULL
PF03572	Peptidase family S41	IPR005151	NULL
PF03573	outer membrane porin, OprD family	IPR005318	NULL
PF03574	Peptidase family S48	IPR005319	NULL
PF03575	Peptidase family S51	IPR005320	NULL
PF03576	Peptidase family S58 	IPR005321	NULL
PF03577	Peptidase family C69	IPR005322	NULL
PF03578	HGWP repeat	IPR005213	NULL
PF03579	Small hydrophobic protein	IPR005327	NULL
PF03580	Herpesvirus UL14-like protein	IPR005207	NULL
PF03581	Herpesvirus UL33-like protein	IPR005208	NULL
PF03583	Secretory lipase 	IPR005152	NULL
PF03584	Herpesvirus ICP4-like protein N-terminal region	IPR005206	NULL
PF03585	Herpesvirus ICP4-like protein C-terminal region	IPR005205	NULL
PF03586	Herpesvirus UL36 tegument protein	IPR005210	NULL
PF03587	EMG1/NEP1 methyltransferase	IPR005304	NULL
PF03588	Leucyl/phenylalanyl-tRNA protein transferase	IPR004616	NULL
PF03589	Antitermination protein	IPR003222	NULL
PF03590	Aspartate-ammonia ligase	IPR004618	NULL
PF03591	AzlC protein	IPR011606	NULL
PF03592	Terminase small subunit 	IPR005335	NULL
PF03594	Benzoate membrane transport protein	IPR004711	NULL
PF03595	C4-dicarboxylate transporter/malic acid transport protein	IPR004695	NULL
PF03596	Cadmium resistance transporter	IPR004676	NULL
PF03597	Cytochrome oxidase maturation protein cbb3-type	IPR004714	NULL
PF03598	CO dehydrogenase/acetyl-CoA synthase complex beta subunit	IPR004461	NULL
PF03599	CO dehydrogenase/acetyl-CoA synthase delta subunit	IPR016041	NULL
PF03600	Citrate transporter	IPR004680	NULL
PF03601	Conserved hypothetical protein 698	IPR018383	NULL
PF03602	Conserved hypothetical protein 95	IPR004398	NULL
PF03603	DNA polymerase III psi subunit	IPR004615	NULL
PF03604	DNA directed RNA polymerase, 7 kDa subunit	IPR006591	NULL
PF03605	Anaerobic c4-dicarboxylate membrane transporter	IPR004668	NULL
PF03606	C4-dicarboxylate anaerobic carrier	IPR018385	NULL
PF03607	Doublecortin	IPR003533	NULL
PF03608	PTS system enzyme II sorbitol-specific factor	IPR004699	NULL
PF03609	PTS system sorbose-specific iic component	IPR004700	NULL
PF03610	PTS system fructose IIA component	IPR004701	NULL
PF03611	PTS system sugar-specific permease component	IPR004703	NULL
PF03612	Sorbitol phosphotransferase enzyme II N-terminus	IPR011618	NULL
PF03613	PTS system mannose/fructose/sorbose family IID component	IPR004704	NULL
PF03614	Repressor of phase-1 flagellin	IPR003223	NULL
PF03615	GCM motif protein	IPR003902	NULL
PF03616	Sodium/glutamate symporter	IPR004445	NULL
PF03617	IBV 3A protein 	IPR005214	NULL
PF03618	Kinase/pyrophosphorylase	IPR005177	NULL
PF03619	Organic solute transporter Ostalpha	IPR005178	NULL
PF03620	IBV 3C protein	IPR005296	NULL
PF03621	MbtH-like protein	IPR005153	NULL
PF03622	IBV 3B protein 	IPR005295	NULL
PF03623	Focal adhesion targeting region	IPR005189	NULL
PF03625	Domain of unknown function DUF302 	IPR005180	NULL
PF03626	Prokaryotic Cytochrome C oxidase subunit IV 	IPR005171	NULL
PF03627	PapG carbohydrate binding domain	IPR005310	NULL
PF03628	PapG chaperone-binding domain 	IPR005309	NULL
PF03629	Domain of unknown function (DUF303) 	IPR005181	NULL
PF03630	Fumble 	IPR004567	NULL
PF03631	Virulence factor BrkB	IPR017039	NULL
PF03632	Glycosyl hydrolase family 65 central catalytic domain	IPR005195	NULL
PF03633	Glycosyl hydrolase family 65, C-terminal domain 	IPR005194	NULL
PF03634	TCP family transcription factor	IPR005333	NULL
PF03635	Vacuolar protein sorting-associated protein 35 	IPR005378	NULL
PF03636	Glycosyl hydrolase family 65, N-terminal domain 	IPR005196	NULL
PF03637	Mob1/phocein family	IPR005301	NULL
PF03638	Tesmin/TSO1-like CXC domain	IPR005172	NULL
PF03639	Glycosyl hydrolase family 81 	IPR005200	NULL
PF03640	Secreted repeat of unknown function	IPR005297	NULL
PF03641	Possible lysine decarboxylase	IPR005269	NULL
PF03642	MAP domain	IPR005298	NULL
PF03643	Vacuolar protein sorting-associated protein 26 	IPR005377	NULL
PF03644	Glycosyl hydrolase family 85 	IPR005201	NULL
PF03645	Tctex-1 family	IPR005334	NULL
PF03646	FlaG protein	IPR005186	NULL
PF03647	Transmembrane proteins 14C	IPR005349	NULL
PF03648	Glycosyl hydrolase family 67 N-terminus	IPR005154	NULL
PF03649	Uncharacterised protein family (UPF0014)	IPR005226	NULL
PF03650	Uncharacterised protein family (UPF0041)	IPR005336	NULL
PF03652	Uncharacterised protein family (UPF0081)	IPR005227	NULL
PF03653	Uncharacterised protein family (UPF0093)	IPR005265	NULL
PF03656	Pam16	IPR005341	NULL
PF03657	Uncharacterised protein family (UPF0113)	IPR005155	NULL
PF03658	RnfH family Ubiquitin	IPR005346	NULL
PF03659	Glycosyl hydrolase family 71 	IPR005197	NULL
PF03660	PHF5-like protein	IPR005345	NULL
PF03661	Uncharacterised protein family (UPF0121)	IPR005344	NULL
PF03662	Glycosyl hydrolase family 79, N-terminal domain 	IPR005199	NULL
PF03663	Glycosyl hydrolase family 76 	IPR005198	NULL
PF03664	Glycosyl hydrolase family 62 	IPR005193	NULL
PF03665	Uncharacterised protein family (UPF0172)	IPR005366	NULL
PF03666	Nitrogen Permease regulator of amino acid transport activity 3	IPR005365	NULL
PF03668	P-loop ATPase protein family	IPR005337	NULL
PF03669	Uncharacterised protein family (UPF0139)	IPR005351	NULL
PF03670	Uncharacterised protein family (UPF0184)	IPR022788	NULL
PF03671	Ubiquitin fold modifier 1 protein	IPR005375	NULL
PF03672	Uncharacterised protein family (UPF0154)	IPR005359	NULL
PF03673	Uncharacterised protein family (UPF0128)	IPR005266	NULL
PF03676	Uncharacterised protein family (UPF0183)	IPR005373	NULL
PF03677	Uncharacterised protein family (UPF0137)	IPR005350	NULL
PF03678	Hexon, adenovirus major coat protein, C-terminal domain	IPR016108	NULL
PF03681	Uncharacterised protein family (UPF0150)	IPR005357	NULL
PF03682	Uncharacterised protein family (UPF0158)	IPR005361	NULL
PF03683	Uncharacterised protein family (UPF0175)	IPR005368	NULL
PF03684	Uncharacterised protein family (UPF0179)	IPR005369	NULL
PF03685	Uncharacterised protein family (UPF0147)	IPR005354	NULL
PF03686	Uncharacterised protein family (UPF0146)	IPR005353	NULL
PF03687	Uncharacterised protein family (UPF0164)	IPR005362	NULL
PF03688	Nepovirus coat protein, C-terminal domain	IPR005305	NULL
PF03689	Nepovirus coat protein, N-terminal domain	IPR005306	NULL
PF03690	Uncharacterised protein family (UPF0160)	IPR003226	NULL
PF03691	Uncharacterised protein family (UPF0167)	IPR005363	NULL
PF03692	Flagellin N-methylase	IPR005358	NULL
PF03693	Uncharacterised protein family (UPF0156)	IPR022789	NULL
PF03694	Erg28 like protein	IPR005352	NULL
PF03695	Uncharacterised protein family (UPF0149)	IPR011978	NULL
PF03698	Uncharacterised protein family (UPF0180)	IPR005370	NULL
PF03699	Uncharacterised protein family (UPF0182)	IPR005372	NULL
PF03700	Sorting nexin, N-terminal domain 	IPR005329	NULL
PF03701	Uncharacterised protein family (UPF0181)	IPR005371	NULL
PF03702	Uncharacterised protein family (UPF0075)	IPR005338	NULL
PF03703	Bacterial PH domain	IPR005182	NULL
PF03704	Bacterial transcriptional activator domain	IPR005158	NULL
PF03705	CheR methyltransferase, all-alpha domain	IPR022641	NULL
PF03706	Uncharacterised protein family (UPF0104)	IPR022791	NULL
PF03707	Bacterial signalling protein N terminal repeat	IPR005330	NULL
PF03708	Avian retrovirus envelope protein, gp85 	IPR005166	NULL
PF03709	Orn/Lys/Arg decarboxylase, N-terminal domain	IPR005308	NULL
PF03710	Glutamate-ammonia ligase adenylyltransferase	IPR005190	NULL
PF03711	Orn/Lys/Arg decarboxylase, C-terminal domain	IPR008286	NULL
PF03712	Copper type II ascorbate-dependent monooxygenase, C-terminal domain	NULL	NULL
PF03713	Domain of unknown function (DUF305)	IPR005183	NULL
PF03714	Bacterial pullanase-associated domain	IPR005323	NULL
PF03715	Noc2p family	IPR005343	NULL
PF03716	WCCH motif 	IPR005159	NULL
PF03717	Penicillin-binding Protein dimerisation domain	IPR005311	NULL
PF03718	Glycosyl hydrolase family 49	IPR005192	NULL
PF03719	Ribosomal protein S5, C-terminal domain	IPR005324	NULL
PF03720	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain	IPR014027	NULL
PF03721	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	IPR001732	NULL
PF03722	Hemocyanin, all-alpha domain	IPR005204	NULL
PF03723	Hemocyanin, ig-like domain	IPR005203	NULL
PF03724	META domain	IPR005184	NULL
PF03725	3' exoribonuclease family, domain 2	IPR015847	NULL
PF03726	Polyribonucleotide nucleotidyltransferase, RNA binding domain	IPR015848	NULL
PF03727	Hexokinase	IPR022673	NULL
PF03728	Viral DNA-binding protein, zinc binding domain	IPR005376	NULL
PF03729	Short repeat of unknown function (DUF308)	IPR005325	NULL
PF03730	Ku70/Ku80 C-terminal arm	IPR005160	NULL
PF03731	Ku70/Ku80 N-terminal alpha/beta domain	IPR005161	NULL
PF03732	Retrotransposon gag protein 	IPR005162	NULL
PF03733	Domain of unknown function (DUF307)	IPR005185	NULL
PF03734	L,D-transpeptidase catalytic domain	IPR005490	NULL
PF03735	ENT domain	IPR005491	NULL
PF03736	EPTP domain	IPR005492	NULL
PF03737	Demethylmenaquinone methyltransferase	IPR005493	NULL
PF03738	Glutathionylspermidine synthase preATP-grasp	IPR005494	NULL
PF03739	Predicted permease YjgP/YjgQ family	IPR005495	NULL
PF03740	Pyridoxal phosphate biosynthesis protein PdxJ	IPR004569	NULL
PF03741	Integral membrane protein TerC family	IPR005496	NULL
PF03742	PetN 	IPR005497	NULL
PF03743	Bacterial conjugation TrbI-like protein 	IPR005498	NULL
PF03744	6-carboxyhexanoate--CoA ligase	IPR005499	NULL
PF03745	Domain of unknown function (DUF309)	IPR005500	NULL
PF03746	LamB/YcsF family	IPR005501	NULL
PF03747	ADP-ribosylglycohydrolase	IPR005502	NULL
PF03748	Flagellar basal body-associated protein FliL	IPR005503	NULL
PF03749	Sugar fermentation stimulation protein	IPR005224	NULL
PF03750	Protein of unknown function (DUF310)	IPR010149	NULL
PF03752	Short repeats of unknown function	IPR005506	NULL
PF03753	Human herpesvirus 6 immediate early protein 	IPR005507	NULL
PF03754	Domain of unknown function (DUF313) 	IPR005508	NULL
PF03755	YicC-like family, N-terminal region 	IPR013527	NULL
PF03756	A-factor biosynthesis hotdog domain	IPR005509	NULL
PF03759	PRONE (Plant-specific Rop nucleotide exchanger)	IPR005512	NULL
PF03760	Late embryogenesis abundant (LEA) group 1 	IPR005513	NULL
PF03761	Domain of unknown function (DUF316) 	IPR005514	NULL
PF03762	Vitelline membrane outer layer protein I (VOMI) 	IPR005515	NULL
PF03763	Remorin, C-terminal region 	IPR005516	NULL
PF03764	Elongation factor G, domain IV	IPR005517	NULL
PF03765	CRAL/TRIO, N-terminal domain	IPR011074	NULL
PF03766	Remorin, N-terminal region 	IPR005518	NULL
PF03767	HAD superfamily, subfamily IIIB (Acid phosphatase)	IPR005519	NULL
PF03768	Attacin, N-terminal region	IPR005520	NULL
PF03769	Attacin, C-terminal region	IPR005521	NULL
PF03770	Inositol polyphosphate kinase 	IPR005522	NULL
PF03771	Domain of unknown function (DUF317)	IPR005523	NULL
PF03772	Competence protein	IPR004477	NULL
PF03773	Predicted permease	IPR005524	NULL
PF03775	Septum formation inhibitor MinC, C-terminal domain	IPR005526	NULL
PF03776	Septum formation topological specificity factor MinE	IPR005527	NULL
PF03777	Small secreted domain (DUF320)  	IPR005528	NULL
PF03778	Protein of unknown function (DUF321) 	IPR005529	NULL
PF03779	SPW repeat	IPR005530	NULL
PF03780	Asp23 family	IPR005531	NULL
PF03781	Formylglycine-generating sulfatase enzyme	IPR005532	NULL
PF03782	AMOP domain	IPR005533	NULL
PF03783	Curli production assembly/transport component CsgG	IPR005534	NULL
PF03784	Cyclotide family	IPR005535	NULL
PF03785	Peptidase family C25, C terminal ig-like domain	IPR005536	NULL
PF03786	D-mannonate dehydratase (UxuA)	IPR004628	NULL
PF03787	RAMP superfamily	IPR005537	NULL
PF03788	LrgA family	IPR005538	NULL
PF03789	ELK domain 	IPR005539	NULL
PF03790	KNOX1 domain 	IPR005540	NULL
PF03791	KNOX2 domain 	IPR005541	NULL
PF03792	PBC domain	IPR005542	NULL
PF03793	PASTA domain	IPR005543	NULL
PF03795	YCII-related domain	IPR005545	NULL
PF03796	DnaB-like helicase C terminal domain	IPR007694	NULL
PF03797	Autotransporter beta-domain	IPR005546	NULL
PF03798	TLC domain	IPR006634	NULL
PF03799	Cell division protein FtsQ	IPR005548	NULL
PF03800	Nuf2 family	IPR005549	NULL
PF03801	HEC/Ndc80p family	IPR005550	NULL
PF03802	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	IPR005551	NULL
PF03803	Scramblase 	IPR005552	NULL
PF03804	Viral domain of unknown function	IPR003225	NULL
PF03805	Cytoadherence-linked asexual protein	IPR005553	NULL
PF03806	AbgT putative transporter family	IPR004697	NULL
PF03807	NADP oxidoreductase coenzyme F420-dependent	IPR004455	NULL
PF03808	Glycosyl transferase WecB/TagA/CpsF family	IPR004629	NULL
PF03810	Importin-beta N-terminal domain	IPR001494	NULL
PF03811	InsA N-terminal domain	IPR003220	NULL
PF03812	2-keto-3-deoxygluconate permease	IPR004684	NULL
PF03813	Nrap protein	IPR005554	NULL
PF03814	Potassium-transporting ATPase A subunit	IPR004623	NULL
PF03815	LCCL domain	IPR004043	NULL
PF03816	Cell envelope-related transcriptional attenuator domain	IPR004474	NULL
PF03817	Malonate transporter MadL subunit	IPR004690	NULL
PF03818	Malonate/sodium symporter MadM subunit	IPR018402	NULL
PF03819	MazG nucleotide pyrophosphohydrolase domain	IPR004518	NULL
PF03820	Tricarboxylate carrier	IPR004686	NULL
PF03821	Golgi 4-transmembrane spanning transporter	IPR004687	NULL
PF03822	NAF domain	IPR004041	NULL
PF03823	Neurokinin B	IPR003635	NULL
PF03824	High-affinity nickel-transport protein	IPR011541	NULL
PF03825	Nucleoside H+ symporter	NULL	NULL
PF03826	OAR domain	IPR003654	NULL
PF03827	Orexin receptor type 2	IPR004060	NULL
PF03828	Cid1 family poly A polymerase	IPR002058	NULL
PF03829	PTS system glucitol/sorbitol-specific IIA component	IPR004716	NULL
PF03830	PTS system sorbose subfamily IIB component	IPR004720	NULL
PF03831	PhnA protein	IPR013988	NULL
PF03832	WSK motif	IPR001573	NULL
PF03833	DNA polymerase II large subunit DP2	IPR016033	NULL
PF03834	Binding domain of DNA repair protein Ercc1 (rad10/Swi10)	IPR004579	NULL
PF03835	Rad4 transglutaminase-like domain	IPR018325	NULL
PF03836	RasGAP C-terminus	IPR000593	NULL
PF03837	RecT family	IPR018330	NULL
PF03838	Recombination protein U	IPR004612	NULL
PF03839	Translocation protein Sec62	IPR004728	NULL
PF03840	Preprotein translocase SecG subunit	IPR004692	NULL
PF03841	L-seryl-tRNA selenium transferase	IPR018319	NULL
PF03842	Silicon transporter	IPR004693	NULL
PF03843	Outer membrane lipoprotein Slp family	IPR004658	NULL
PF03845	Spore germination protein	IPR004761	NULL
PF03846	Cell division inhibitor SulA	IPR004596	NULL
PF03847	Transcription initiation factor TFIID subunit A	IPR003228	NULL
PF03848	Tellurite resistance protein TehB	IPR015985	NULL
PF03849	Transcription factor Tfb2	IPR004598	NULL
PF03850	Transcription factor Tfb4	IPR004600	NULL
PF03851	UV-endonuclease UvdE	IPR004601	NULL
PF03852	DNA mismatch endonuclease Vsr	IPR004603	NULL
PF03853	YjeF-related protein N-terminus	IPR004443	NULL
PF03854	P-11 zinc finger	IPR003224	NULL
PF03855	M-factor	IPR005555	NULL
PF03856	Beta-glucosidase (SUN family)	IPR005556	NULL
PF03857	Colicin immunity protein	IPR005557	NULL
PF03858	Crustacean neurohormone H	IPR005558	NULL
PF03859	CG-1 domain	IPR005559	NULL
PF03860	Domain of Unknown Function (DUF326) 	IPR005560	NULL
PF03861	ANTAR domain	IPR005561	NULL
